ISIN,Symbol,Name,Sector,Subsector,Country,Instrument Exchange
DE000A254203,MPSC,MUEHL PRODUCT + SERVICE  INH O.N,Consumer,Home Construction & Furnishings,Germany,FRANKFURT
DE0006214687,MLL,MUELLER-DIE LILA LOGISTIK,Transportation + Logistics ,Logistics,Germany,XETRA + FRANKFURT 
DE000A11QWW6,MYRK,MYHAMMER HOLDING AG O.N.,Software,Internet,Germany,XETRA + FRANKFURT 
US34969P1021,FCT,MYPHOTOALBUM INC. 144A,Software,Internet,USA,FRANKFURT
DE0005021307,NSN,NESCHEN AG O.N.,Industrial,Industrial Products & Services,Germany,FRANKFURT
DE000A1K03W5,99SC,NEXR TECHNOLOGIES SE  INH O.N.,Media,Movies & Entertainment,Germany,XETRA + FRANKFURT 
DE000A12UP37,NC5A,NORCOM INFORMATION TECHNOLOGY INH ON,Software,Internet,Germany,XETRA + FRANKFURT 
DE0006775505,NWX,NORDWEST HANDEL AG,Industrial,Industrial Products & Services,Germany,FRANKFURT
SE0000722365,OMAX,"OASMIA PHARMACEUTICAL SK-,10",Pharma & Healthcare,Pharmaceuticals,Sweden,FRANKFURT
DE0006853005,ODE,ODEON FILM AG O.N.,Media,Movies & Entertainment,Germany,FRANKFURT
DE0008647488,OMR,OMRON CORP. DZ/1 O.N.,Technology,Electronic Components & Hardware,Japan,FRANKFURT
CH0022237009,O5H,OPENLIMIT HOLDING INH. SF-30,Software,Software,Switzerland,XETRA + FRANKFURT 
DE0005228779,OBS,ORBIS AG O.N.,Industrial ,Industrial Products & Services,Germany,XETRA + FRANKFURT 
DE000A1R1C81,ICP,PANAMAX AG,Technology,Communications Technology,Germany,XETRA + FRANKFURT 
DE000A0AFGF3,02P,PEARL GOLD AG,Financial Services ,Private Equity & Venture Capital ,Germany,FRANKFURT
DE000A2YN777,EMH,PFERDEWETTEN.DE AG NA ON,Consumer ,Leisure ,Germany,XETRA + FRANKFURT 
DE0006082001,HOZ,PHILIPP HOLZMANN AG O.N.,Construction,Construction & Engineering,Germany,FRANKFURT
DE000A1A6WB2,HBD1,PHILOMAXCAP AG INH O.N.,Media,Movies & Entertainment,Germany,FRANKFURT
DE000A0BVU93,PS4,PHOENIX SOLAR AG  O.N.,Industrial,Renewable Energies,Germany,FRANKFURT
AT0000KTMI02,PMAG,PIERER MOBILITY AG,Automobile,Automobile Manufacturers,Germany,XETRA 
DE0006925001,PIT,PITTLER MASCHINENFABRIK AG,Industrial,Industrial Machinery,Germany,FRANKFURT
DE0006954001,PUZ,PONGS + ZAHN AG O.N.,Financial Services,Private Equity & Venture Capital,Germany,FRANKFURT
DE000PAH0038,PAH3,PORSCHE AUTOMOBIL HOLDING VZO,Automobile,Automobile Manufacturers,Germany,XETRA + FRANKFURT 
DE000A1E89S5,EXJ,READCREST CAPITAL AG O.N.,Media,Advertising,Germany,FRANKFURT
DE0007008906,RTC,REALTECH AG O.N.,Software,IT-Services,Germany,XETRA + FRANKFURT 
DE0006001902,HP3,RINGMETALL AG O.N.,Industrial,Containers & Packaging,Germany,XETRA + FRANKFURT 
DE000A255G02,BUF1,S&O BETEILIGUNGEN INH O.N.,Industrial,Renewable Energies,Germany,FRANKFURT
DE0007229007,SWA,SCHLOSS WACHENHEIM AG O.N,Food & Beverages,Beverages,Germany,XETRA + FRANKFURT 
DE0007216707,SCM,SCHUMAG AG O.N.,Industrial,Industrial Machinery ,Germany,FRANKFURT
DE0005156236,SCE,SCHWEIZER ELECTRONIC NA O.N.,Technology,Semiconductors,Germany,XETRA + FRANKFURT 
LU1377527517,SEN,"SENVION S.A.     EUR -,01",Industrial,Renewable Energies,Luxembourg,XETRA + FRANKFURT 
DE0007239402,SIM,SIMONA AG O.N.,Chemicals,"Chemicals, Commodity",Germany,FRANKFURT
DE000SGU8886,SGU,SINO-GERMAN UNITED AG O.N.,Industrial,"Industrial, Diversified",Germany,FRANKFURT
DE000A2E3772,BTBB,SLEEPZ AG  INH. O.N.,Retail,"Retail, Internet",Germany,XETRA + FRANKFURT 
DE000A1PHEL8,8S9,SNOWBIRD AG,Retail,"Retail, Specialty",Germany,FRANKFURT
DE0006614712,SFX,SOLAR-FABRIK AG O.N.,Industrial,Renewable Energies,Germany,FRANKFURT
DE0007279507,SPM,SPLENDID MEDIEN AG O.N.,Media,Movies & Entertainment,Germany,XETRA + FRANKFURT 
DE0005490601,SBE,SPOBAG O.N.,Financial Services,Private Equity & Venture Capital,Germany,FRANKFURT
DE000A1EMG56,WIG1,SPORTTOTAL AG  INH. O.N.,Media,Advertising,Germany,XETRA + FRANKFURT 
DE0007274136,STO3,STO SE+CO.KGAA VZO O.N.,Consumer,Home Construction & Furnishings,Germany,XETRA + FRANKFURT 
SE0006027546,SVAB,STRATEVIC FINANCE GR. AB,Software,Internet,Sweden,XETRA + FRANKFURT 
DE000A1TNU68,SF3,STS GROUP AG  O.N.,Automobile,Auto Parts & Equipment,Germany,XETRA + FRANKFURT 
DE0007454209,TCU,TC UNTERHALTUNGSELEKTRONIK,Consumer,Consumer Electronics,Germany,FRANKFURT
DE0007458804,TIS,TISCON AG O.N.,Software,IT-Services,Germany,FRANKFURT
DE000A12B8Z4,TLG,TLG IMMOBILIEN AG,Financial Services,Real Estate,Germany,XETRA + FRANKFURT 
CH0016458363,ERO1,TMC CONTENT GROUP AG INH.SF1,Media,Movies & Entertainment,Switzerland,XETRA + FRANKFURT 
DE000A0STST2,TTI,TOM TAILOR HOLDING  NA O.N.,Consumer,Clothing & Footwear,Germany,XETRA + FRANKFURT 
DE000A0L1NQ8,TVD6,TRAVEL24.COM AG,Retail ,"Retail, Internet",Germany,FRANKFURT
DE0007501009,TTO,TTL BETEILIGUNGS- UND GRUNDBESITZ AG INH ON,Financial Services,Real Estate,Germany,XETRA + FRANKFURT 
DE000A161N22,TUF,TUFF GROUP AG  O.N.,Construction,Construction & Engineering,Germany,XETRA + FRANKFURT 
IT0005239360,CRIN,UNICREDIT,Banks,Credit Banks,Italy,XETRA + FRANKFURT 
DE0005509129,UPR,UNIPROF REAL ESTATE HOLDING O.N.,Financial Services,Real Estate,Germany,FRANKFURT
DE000A1EMAK2,UP7,UNITED POWER TECHNOLOGY AG,Industrial,Industrial Machinery,China,FRANKFURT
DE0007551509,UZU,UZIN UTZ AG O.N.,Construction,Building Materials,Germany,XETRA + FRANKFURT 
DE000A2TSM88,FKEK,VALENS HOLDING AG  INH O.N.,Consumer,Clothing & Footwear,Germany,FRANKFURT
DE000A1RFHN7,VMR1,VALUE MANAGEMENT&RESEARCH  INH.O.N.,Financial Services,Diversified Financial,Germany,FRANKFURT
DE000A0WMNK9,VAO,VAPIANO SE  INH. O.N.,Consumer,Leasure,Germany,XETRA + FRANKFURT 
DE0006851603,OLG,VERALLIA DEUTSCHLAND AG  O.N.,Consumer,Household Appliances & Housewares,Germany,FRANKFURT
DE000A1E8G88,VG0K,VIVANCO GRUPPE AG,Technology,Electronic Components & Hardware,Germany,FRANKFURT
DE0007477507,WTB,WALTER BAU-AG ST O.N.,Construction,Construction & Engineering,Germany,FRANKFURT
DE0007477531,WTB3,WALTER BAU-AG VZO O.N.,Construction,Construction & Engineering,Germany,FRANKFURT
DE0007016008,MSH,WASGAU PRODUKTIONS & HANDELS NA O.N.,Food & Beverages,Food,Germany,FRANKFURT
DE000A1X3X33,WCMK,WCM BETEILIGUNGS- UND GRUNDBESITZ AG  O.N.,Financial Services,Real Estate,Germany,XETRA + FRANKFURT 
DE0008103102,RKB,WEBAC HOLDING AG,Financial Services,Private Equity & Venture Capital,Germany,FRANKFURT
DE0007775207,WUG,WESTAG + GETALIT ST O.N.,Consumer,Home Construction & Furnishings,Germany,XETRA + FRANKFURT 
DE0007775231,WUG3,WESTAG + GETALIT VZO O.N.,Consumer,Home Construction & Furnishings,Germany,XETRA + FRANKFURT 
DE000A2TSU21,WBAH,WILD BUNCH AG O.N.,Media,Movies & Entertainment,Germany,XETRA + FRANKFURT 
IL0010830706,WZM,"WIZCOM TECHNOLOGIES IS-,01",Technology,Electronic Components & Hardware,Israel,FRANKFURT
DE0007847303,YMO,YMOS AG O.N.,Financial Services,Real Estate,Germany,FRANKFURT
DE000A161N14,RTV,YOUR FAMILY ENTERTAINMENT AG NA,Media,Movies & Entertainment,Germany,FRANKFURT
DE000ZDWT018,ZEF,ZHONGDE WASTE TECHNOLOGY,Industrial,Industrial Products & Services,China,XETRA + FRANKFURT 
